array_element_name,H_CHIP_263_A,H_CHIP_263_B,H_CHIP_264_A,H_CHIP_264_B,H_CHIP_265_A,H_CHIP_265_B,H_CHIP_266_A,H_CHIP_266_B,H_CHIP_267_A,H_CHIP_267_B,H_CHIP_268_A,H_CHIP_268_B,H_CHIP_269_A,H_CHIP_269_B
AT2G30870,1901.2,1651.5,2210.3,2080.4,2245.5,2124.9,2371.9,2426.5,1990.2,1940.9,1833.6,1559.4,1758.1,1776.5
AT2G37630,1634.7,1354.2,1428.4,1142.0,1344.2,1076.6,1524.1,1212.6,1372.0,1292.7,1255.4,1298.9,1361.3,1180.9
AT2G37710,301.1,265.9,526.2,394.7,573.9,373.2,567.7,463.7,256.0,277.4,263.3,242.3,331.9,264.9
AT2G37660,2417.9,1979.1,2120.7,1756.0,1889.0,1638.1,2051.1,1579.3,2130.0,1799.8,1741.9,1741.6,2033.0,1713.0
AT2G37600,807.2,692.0,748.8,828.3,695.2,950.3,752.0,959.3,765.6,704.2,640.7,941.1,825.0,655.5
AT2G37620,856.1,1033.9,944.2,1043.3,868.9,960.5,848.0,1005.2,635.9,757.6,659.5,714.3,759.2,778.1
AT2G38140,824.7,943.0,857.1,989.3,740.7,963.6,892.2,745.3,764.1,774.7,528.4,630.0,668.9,565.4
AT2G38120,327.4,270.1,360.4,328.4,391.2,273.5,299.3,265.7,603.9,376.2,646.5,441.1,537.8,355.9
AT2G38280,831.0,784.5,825.1,735.2,753.5,664.7,769.1,635.1,743.8,751.6,1122.0,641.8,948.8,768.8
AT2G41430,1220.6,1206.7,1229.4,1196.1,1549.9,1537.1,1417.0,1462.3,1890.7,2116.2,2050.6,1910.0,1949.9,2176.1
AT2G14720,764.9,746.9,865.5,803.3,966.1,683.6,1030.9,772.1,1035.4,1023.4,563.1,949.9,1282.1,860.7
AT2G14750,293.2,265.1,303.9,280.6,263.3,283.1,315.4,317.1,494.0,444.8,1021.0,396.5,393.5,426.6
AT2G32520,586.6,666.2,745.6,929.8,887.1,953.9,797.7,922.7,601.5,710.7,519.4,496.9,580.7,649.5
AT2G41090,357.6,338.6,844.3,1127.2,1355.6,1189.0,841.5,828.3,333.0,512.4,328.8,216.4,255.2,201.2
AT2G41100,29.2,29.5,326.8,213.7,242.8,343.0,279.3,400.7,68.0,121.9,85.8,67.7,72.5,424.5
AT2G38310,418.8,332.2,410.3,403.3,654.9,571.4,663.5,626.4,599.8,583.3,745.3,627.5,807.6,713.2
AT2G34250,2286.0,2212.5,2370.9,2302.8,2276.3,1998.1,2101.7,2121.6,2069.9,1936.1,1549.1,2159.8,1987.1,2003.0
AT2G34430,4074.1,3678.4,4228.2,3857.3,5122.9,5595.0,5060.0,4878.6,6106.2,6639.8,5728.3,5944.0,5737.1,6076.5
AT2G34480,8197.2,7029.1,8152.9,7364.2,7618.6,7839.0,6557.0,7374.3,7195.2,6969.3,7563.2,7010.6,6866.7,7352.4
AT2G39350,467.3,533.6,325.8,282.1,190.2,149.8,155.3,136.1,298.4,340.9,284.5,264.4,293.6,254.2
AT2G39330,100.6,150.3,74.7,104.5,277.4,332.0,534.9,542.3,469.7,421.5,337.7,499.9,642.6,861.0
AT2G39390,1294.4,1160.8,1312.2,1346.5,1173.7,1209.4,1126.1,1154.4,873.0,738.7,741.7,766.2,800.3,763.1
AT2G39460,5132.1,4633.7,5231.0,4841.8,5232.0,5093.0,4830.1,4783.7,3458.2,3910.6,3102.2,4329.8,4226.4,3876.4
AT2G39570,297.2,274.8,365.0,239.6,413.5,402.6,499.9,484.3,667.0,553.7,546.9,466.9,483.7,467.5
AT2G18960,1702.3,1369.8,2145.8,1720.0,2287.5,1810.3,2002.2,1688.0,2174.8,1707.3,2056.4,1602.0,1894.5,1547.0
AT2G45960,1294.2,1274.6,1429.3,1363.0,1686.4,1678.6,1966.1,1625.8,1760.7,1612.3,1701.2,1446.4,1601.5,1725.3
AT2G45790,998.3,1075.4,1106.6,1395.0,1105.6,1254.1,1098.1,1262.4,849.4,779.6,900.6,727.8,734.1,826.0
AT2G45820,602.0,480.4,494.4,425.8,632.5,554.5,735.5,715.1,1172.2,1002.4,1089.3,1044.6,1101.8,1021.9
AT2G44670,288.2,340.9,470.6,558.7,507.2,523.4,386.6,529.0,311.4,340.3,259.2,236.2,245.2,239.0
AT2G44650,2391.1,1810.5,2335.1,2063.4,1933.1,1856.5,2199.6,1656.9,1680.0,1554.7,1405.9,1311.4,1579.0,1414.9
AT2G26080,1124.2,939.5,1377.2,1124.4,1472.6,1230.8,1601.0,1290.0,957.8,848.5,1070.2,653.3,800.6,789.6
AT2G25970,1095.2,755.4,844.9,643.7,869.6,661.5,860.5,619.1,928.1,803.8,895.9,812.9,914.8,788.4
AT2G26900,1852.4,1864.1,1555.5,1517.3,1426.8,1578.2,1470.0,1539.6,1682.4,1890.7,1657.1,1772.8,1755.8,1730.6
AT2G29980,1403.4,1343.9,1330.8,1253.6,1559.8,1346.9,1574.6,1379.4,2188.8,2196.8,2090.3,2279.8,1787.1,2095.6
AT2G29960,745.7,925.7,838.4,1015.5,874.7,1029.0,917.7,1063.7,825.9,1032.5,925.2,1113.7,910.7,1017.9
AT2G22840,1020.9,1200.1,784.7,900.4,763.0,764.4,740.0,885.6,798.0,964.1,850.5,1087.0,839.4,949.8
AT2G29020,1537.4,1572.5,1559.1,1554.7,1842.9,1523.8,1986.0,1849.4,1783.5,2153.3,1665.8,2110.6,2119.4,1935.6
AT2G28950,1896.0,1759.8,2131.6,2145.7,2479.8,2209.9,2370.5,2473.4,2401.5,2423.7,2775.5,2607.4,2566.4,2653.8
AT2G03090,480.7,410.6,359.9,336.3,297.7,244.2,258.6,213.5,457.2,399.1,674.9,427.1,431.3,415.0
AT2G02930,165.7,131.5,199.9,213.7,243.1,343.4,580.6,513.3,92.7,197.6,82.8,41.7,56.5,101.1
AT2G47070,478.2,444.1,534.5,399.1,596.4,463.9,557.9,504.6,719.9,660.7,740.6,692.3,700.0,782.1
AT2G47110,5548.3,4742.8,5352.8,4911.8,5013.4,5380.1,4672.3,5356.0,4798.1,6063.9,4530.6,5892.9,4655.7,5312.5
AT2G46820,1069.8,1034.1,1182.1,1129.7,1120.8,1439.1,1358.8,1082.0,1227.0,1364.6,1003.7,1123.9,1419.4,1200.0
AT2G46830,51.7,49.3,493.9,527.9,406.2,345.4,373.4,377.0,40.6,57.3,33.6,45.1,32.9,39.1
AT2G19810,950.1,867.1,605.1,580.1,762.2,668.8,849.0,652.9,1434.3,1247.6,1458.4,1338.4,1399.6,1537.4
AT2G19680,288.3,407.3,302.5,481.2,350.4,464.2,356.0,442.3,170.1,245.6,151.8,242.9,185.2,212.3
AT2G19730,7508.5,6059.1,7408.8,6117.9,6493.9,6745.8,7003.1,6295.6,5993.1,5516.0,5398.5,6337.8,5771.7,5423.9
AT2G19740,1188.7,1144.3,1219.5,1270.8,1235.6,1260.1,1192.4,1211.1,890.0,950.3,699.7,992.5,859.6,884.2
AT2G19760,829.0,613.0,831.4,699.5,828.6,711.6,866.5,676.2,691.4,553.2,437.2,594.3,564.6,478.0
AT2G19750,1310.2,1576.2,1240.0,1620.3,1186.8,1680.5,1148.9,1532.7,1089.5,1316.2,1128.6,1517.2,1100.3,1249.2
AT2G25880,421.6,392.9,516.3,433.5,542.4,421.9,525.1,492.8,266.3,245.4,228.9,212.8,244.2,215.0
AT2G25900,392.8,496.2,489.0,529.7,668.4,527.5,710.4,618.8,701.1,784.4,772.9,673.0,817.1,925.0
AT2G29700,879.3,729.0,873.4,683.7,825.0,739.9,955.0,772.6,940.4,806.6,985.2,824.9,1063.4,857.6
AT2G14900,111.9,69.8,110.6,93.2,197.3,236.0,425.0,449.0,195.1,179.4,143.0,167.0,219.3,165.8
AT2G14910,524.2,464.3,615.2,522.0,871.8,700.6,838.8,707.0,1323.5,1213.9,1163.8,1166.3,1189.4,1105.5
AT2G14890,2470.7,2465.0,2471.0,2481.8,2237.2,2232.4,2112.5,2165.9,1937.5,1721.2,2171.4,2000.7,1785.1,2161.3
AT2G46330,1966.5,1978.4,2073.1,2226.6,2555.3,2663.3,2304.5,2840.6,2047.7,2060.7,1852.9,2093.2,2252.1,2283.2
AT2G46290,1660.6,1639.5,1586.2,1629.8,1565.0,1840.8,1764.4,1949.0,1964.0,1784.9,1868.9,2011.6,1813.7,1873.6
AT2G46230,1259.1,1349.3,1269.3,1359.4,1250.2,1375.4,1258.0,1339.2,1083.9,1137.7,1006.0,1232.4,1186.5,1131.6
AT2G24090,744.6,986.6,667.3,978.2,637.7,820.6,777.3,743.6,441.7,512.9,384.4,350.8,438.9,472.4
AT2G23930,2095.4,1947.7,2114.2,2241.2,2165.7,2181.0,1540.1,2241.0,1924.1,2095.4,1916.7,2090.8,1840.8,1875.0
AT4G35100,7591.0,7164.4,7392.7,6935.6,7428.7,7980.3,7494.2,8205.5,7626.2,7617.9,7637.1,8065.0,7114.4,7947.0
AT2G16940,804.4,624.2,759.6,546.9,751.8,551.5,748.2,567.8,841.1,703.1,918.9,781.4,663.0,711.7
AT2G35120,1451.5,1324.1,1728.2,1728.0,1852.0,1607.0,1611.4,1773.8,1183.7,1395.8,1331.6,1165.5,1357.3,1222.0
AT2G06925,751.9,648.7,587.9,598.6,870.4,812.1,816.4,903.6,791.6,853.1,925.7,777.1,957.2,812.4
AT2G47940,988.2,1047.9,958.4,1024.2,912.8,949.2,1043.4,801.0,748.6,759.7,727.9,696.9,664.3,889.7
AT2G47990,453.9,669.6,530.1,616.5,422.6,445.9,366.5,347.7,292.0,343.2,375.9,448.1,333.3,341.0
AT2G47640,561.6,805.1,610.5,912.0,590.0,901.5,574.0,790.1,387.4,583.5,394.6,529.0,409.9,478.7
AT2G47710,590.2,503.7,718.5,716.5,1010.3,1022.7,943.6,976.2,989.0,962.7,981.8,1012.6,1078.4,1121.4
AT2G47730,999.8,916.1,1177.8,1363.0,1105.5,1230.5,1209.9,1253.9,1117.1,946.4,782.9,807.3,904.0,902.8
AT2G43090,1171.2,1810.6,1318.7,1499.6,1231.8,1715.7,1245.9,1963.8,1002.8,1409.0,903.9,1176.2,1158.2,1208.9
AT2G43100,93.6,63.2,94.0,82.1,48.3,45.4,59.1,28.5,267.2,125.2,905.5,147.2,97.6,81.9
AT2G38530,3053.8,2492.1,2608.5,2086.2,2572.2,2952.1,3353.3,2769.0,3098.3,3024.3,1767.7,2044.8,1836.5,2222.0
AT2G38540,9243.3,7279.8,7987.9,7219.9,7502.8,8026.9,8959.2,8188.8,10388.7,8992.9,9450.5,9537.7,9372.9,9821.1
AT2G41410,328.8,476.9,497.3,675.5,564.9,690.2,599.3,735.3,701.1,564.2,494.9,476.9,497.0,732.5
AT2G14610,191.2,189.6,1260.8,1358.4,2479.3,1752.9,1060.1,1719.2,181.9,328.1,33.6,44.5,59.4,75.3
AT2G32280,645.2,663.3,435.7,393.3,398.3,394.2,360.0,487.4,589.8,639.3,820.7,592.6,621.9,565.3
AT2G01610,295.2,254.6,169.7,169.3,187.8,174.5,159.5,172.7,408.2,324.6,650.9,400.6,442.6,427.6
AT2G01570,848.3,822.4,861.9,706.5,1122.6,946.9,1115.3,994.5,927.0,816.5,968.0,755.3,890.7,828.8
AT2G27020,2808.2,2417.2,2822.0,2510.1,2559.1,2159.9,2566.5,2191.3,1963.9,1901.8,2107.6,1900.2,1981.5,2066.1
AT2G27040,1437.9,1237.7,1167.0,907.5,1139.9,926.2,1153.4,1013.3,1199.4,1075.5,1483.8,1206.5,1219.4,1115.3
AT2G27030,396.6,582.8,448.4,676.0,426.4,682.5,386.8,629.4,298.3,437.4,265.7,398.4,295.4,383.9
AT2G29200,598.3,515.1,547.4,504.8,552.4,433.0,566.0,437.0,598.6,728.2,814.7,774.9,648.4,682.7
AT2G29550,1328.7,1857.3,1478.3,1657.7,1162.4,1703.1,1112.7,1820.1,1067.0,1254.3,1418.8,1353.3,1389.8,1265.4
AT2G29420,243.8,307.7,142.0,141.0,76.4,69.2,75.9,46.4,385.8,366.5,297.7,296.7,281.7,292.2
AT2G29570,1261.3,1359.1,1120.5,1228.6,1115.7,998.9,1048.9,1079.1,1326.0,1726.6,1665.8,1955.4,1528.7,1820.2
AT2G29400,641.8,577.2,706.1,692.5,863.9,778.8,903.9,834.1,1202.2,1091.7,981.7,1078.7,1026.8,996.8
AT2G27840,1316.6,1303.6,1211.5,923.6,1064.6,850.1,735.8,781.3,613.9,539.9,638.3,632.8,589.0,504.4
AT2G27710,5476.5,5467.3,5448.8,5839.0,4967.0,5540.2,5079.1,5083.1,4621.8,4996.9,4630.6,5009.1,4533.2,5086.2
AT2G27720,4912.2,5257.5,4915.1,5328.0,4854.9,5293.8,4282.1,4873.5,4308.0,5238.7,3917.9,5038.6,4157.0,5295.0
AT2G27730,1094.4,1276.0,1170.5,1230.0,1257.1,1410.7,1073.4,1274.8,1082.4,1134.5,912.0,1071.5,1079.6,1090.6
AT2G27530,4550.5,4498.2,4870.5,4902.5,4371.3,4784.3,3788.9,4959.4,3637.4,4042.1,4083.4,4306.5,3601.9,3908.2
AT2G06850,1848.5,1790.6,2236.9,2270.3,2554.9,2364.9,2447.7,2738.9,1518.3,1413.9,1393.8,1340.0,1525.9,1662.1
AT2G28790,8379.9,7209.7,7457.8,6455.1,6984.7,6851.1,7341.9,7086.1,7240.5,6814.3,8432.3,7499.9,8485.9,8021.6
AT2G28900,1421.0,1593.3,825.4,932.4,911.4,951.1,815.7,999.7,1189.9,1268.8,1227.5,1285.6,1160.8,1282.8
AT2G28740,259.5,590.4,242.9,669.5,236.2,460.8,260.6,469.8,164.6,385.5,171.5,342.2,225.7,446.9
AT2G28910,962.2,892.7,944.6,946.8,1217.0,1122.0,962.8,1114.2,1583.8,1996.8,1486.2,2242.6,1689.6,1969.6
AT2G28840,1002.4,841.3,904.0,836.0,1275.3,1194.2,1291.2,1239.9,2064.5,2081.8,2088.2,2435.1,2422.7,2618.1
AT2G38870,505.9,551.0,498.5,331.5,149.3,240.7,236.1,141.7,1409.2,1262.7,790.4,919.3,1292.9,881.1
AT2G39010,493.1,406.0,648.9,633.5,1059.6,797.7,720.1,608.9,717.9,605.3,763.3,479.1,533.8,546.8
AT2G28190,3383.4,3354.2,2846.9,3024.5,3077.5,3391.4,3357.5,3249.3,3515.7,3481.3,2972.2,3353.7,3237.5,2991.8
AT2G02130,2015.6,1809.9,2216.1,2305.2,2502.1,2267.5,2331.3,2236.5,1556.2,1490.5,1367.0,1307.2,1487.1,1651.4
AT2G02100,7116.2,5405.8,5806.2,4610.3,6108.3,5930.7,7146.0,6619.9,6053.4,4811.9,4871.5,4633.2,5627.8,6104.8
AT2G45180,636.7,488.7,558.6,630.6,1022.6,1121.0,1156.7,1042.5,602.1,718.1,455.0,655.0,901.6,846.7
AT2G45070,2027.8,1686.7,2050.7,2216.4,1758.6,1755.3,1760.3,1943.2,1447.6,1393.7,1615.5,1542.9,1592.0,1430.5
AT2G37790,372.6,477.7,314.7,405.3,396.9,508.0,383.4,482.8,523.2,560.5,612.7,621.3,484.3,675.3
AT2G37990,952.5,1002.5,867.5,939.5,797.7,939.7,766.7,945.2,681.0,748.7,733.9,995.0,768.0,830.1
AT2G40660,1466.6,1060.0,1279.9,1058.7,1165.3,933.7,1299.5,975.4,1013.6,1065.3,1075.9,1100.0,1105.8,1139.5
AT2G40765,698.8,593.7,1071.9,665.8,828.4,667.4,871.8,652.8,882.3,456.8,575.8,478.1,967.6,453.5
AT2G18660,50.4,36.9,174.2,216.5,228.1,315.8,440.0,451.1,22.4,98.2,23.3,20.1,5.2,143.5
AT2G05920,1902.4,1581.8,1876.8,1722.2,2017.4,1807.2,1971.7,1927.4,1951.0,1556.0,1825.0,1590.3,1537.5,1629.4
AT2G05990,1379.5,1383.7,1408.1,1389.6,1210.4,1161.5,1161.0,1121.3,1056.9,1215.7,976.6,1218.3,1212.8,1108.3
AT2G05840,640.5,939.3,741.5,1025.0,731.7,1015.0,657.4,981.2,523.6,750.3,539.3,567.8,411.6,628.2
AT2G07739,178.2,379.9,108.1,331.9,102.8,162.5,207.1,153.4,189.5,360.8,105.8,416.6,131.6,209.1
AT2G24200,2462.8,1986.9,2566.4,2147.9,2374.4,2280.0,2719.9,2516.5,2292.0,1798.4,2383.2,1775.4,2183.0,1796.9
AT2G24270,811.3,634.5,626.2,466.6,391.7,456.0,587.6,409.4,1182.3,822.0,551.0,750.8,1122.6,970.8
AT2G24150,1003.0,942.0,969.2,1029.0,1072.9,1031.4,1200.9,1043.7,1306.1,1102.9,1393.8,1169.6,1474.4,1220.2
AT2G37340,1153.4,1039.9,1049.4,934.9,1020.8,980.5,1133.6,1125.8,2261.9,2112.0,2318.5,2542.0,2432.7,2237.2
AT3G11940,8264.3,7496.2,7872.6,7797.9,7347.7,8538.1,7556.0,8278.6,8321.2,8350.4,8492.8,8681.3,7385.7,8870.3
AT2G37220,1825.1,1772.9,1725.9,1737.6,1504.7,1433.1,1624.8,1412.3,1348.9,1339.2,1109.7,1245.6,1333.2,1191.8
AT2G37410,1995.6,1567.1,1732.1,1535.6,1704.5,1532.1,1774.0,1645.8,2319.7,2151.4,2155.0,2311.5,2185.1,2250.0
AT2G19520,836.3,1254.6,846.3,1168.4,894.3,1050.3,771.7,1067.4,658.5,933.7,740.2,1059.8,802.8,722.6
AT2G19590,125.3,95.7,382.0,387.8,618.4,503.9,418.4,453.3,210.8,199.1,267.5,168.4,231.3,201.7
AT2G15090,1100.1,967.4,587.6,551.1,531.8,559.5,633.5,480.5,1124.1,957.9,995.3,1106.8,954.2,1022.0
AT2G01720,1698.7,1844.1,1633.3,1876.1,1594.4,1947.7,1553.6,1905.7,1386.3,1434.7,1329.1,1574.6,1525.3,1597.4
AT2G42310,1582.7,1276.6,1340.4,1168.9,1512.5,1277.8,1491.6,1287.8,1835.3,1539.8,1729.1,1390.7,1417.0,1473.7
AT2G42500,574.7,943.5,654.7,931.8,819.5,880.7,544.8,900.3,704.7,1002.6,680.3,1032.7,760.4,921.6
AT4G36130,9578.4,8352.3,9433.4,8496.3,8302.3,9329.2,8865.1,9178.9,8720.8,9106.3,8655.7,9344.4,8932.5,9288.5
AT2G17930,709.2,774.2,730.8,571.0,666.4,507.8,701.9,473.6,783.4,623.2,887.1,647.1,770.2,627.4
AT1G30230,3204.8,3074.0,3191.3,3180.1,3203.1,3456.3,3512.3,3414.9,4148.1,3848.1,3739.2,3830.6,3704.1,3679.9
AT2G18040,767.9,1030.7,874.3,1085.5,953.2,1043.9,865.4,1047.1,653.1,973.4,610.2,924.3,672.0,915.1
AT2G07360,753.6,768.8,687.7,576.6,843.3,659.3,759.9,708.8,969.4,778.1,847.2,831.3,984.6,715.3
AT2G01140,1294.4,1374.8,1381.4,1241.9,1527.6,1176.4,1338.7,1163.3,1228.9,1158.3,1183.7,1028.6,1145.3,1057.4
AT2G01250,6642.4,6459.2,6945.1,6780.2,6511.5,7052.8,6275.9,6708.8,5412.5,6191.6,5415.9,6143.2,5552.1,5935.4
AT2G03510,973.2,786.3,945.1,821.8,942.2,748.6,836.6,734.2,675.4,721.1,702.1,683.6,726.4,682.5
AT2G32060,4215.2,3804.7,4060.5,3922.6,4013.3,3660.5,3609.4,3709.6,2811.1,3233.3,3084.1,3166.4,3351.7,3688.1
AT2G24500,928.9,908.3,740.9,818.2,706.0,812.0,811.5,799.6,545.1,672.7,664.5,784.8,579.9,683.8
AT2G27510,1703.8,1652.3,1956.6,2157.5,1359.8,1409.2,1271.9,1261.5,1420.4,1591.6,1491.1,1501.1,1494.7,1401.2
AT2G25490,402.8,389.7,446.5,370.8,428.6,362.6,506.7,415.2,568.9,589.1,874.9,516.2,586.0,602.4
AT2G25510,4844.4,4564.4,7403.4,7228.1,7911.9,9168.8,7064.5,8742.1,4840.9,6260.8,3936.1,2399.2,2687.7,3322.6
AT2G25520,1065.3,1577.1,1235.4,1737.5,1270.6,1496.9,1083.6,1760.6,1160.3,1521.7,1100.1,1263.2,1095.0,1327.7
AT2G14260,819.8,810.8,883.7,731.4,872.0,819.2,1059.4,758.9,784.4,886.8,664.4,742.0,836.1,624.2
AT2G05520,4275.4,3724.1,3606.6,2919.2,3110.3,3443.3,4013.9,3859.2,4032.4,3439.4,3081.8,3765.5,4240.3,3571.0
AT2G06050,522.5,630.5,470.4,497.1,492.6,524.2,551.9,621.9,753.4,798.5,1000.8,847.8,1099.6,1398.5
AT2G15890,277.0,367.1,121.7,137.7,160.2,261.2,228.3,227.4,378.2,380.5,387.5,479.8,468.6,474.8
AT2G15970,2010.3,1734.1,750.1,779.2,845.2,692.2,878.8,883.8,1193.3,1066.1,1036.9,761.0,1002.1,743.6
AT2G15690,409.7,578.4,363.9,697.9,318.2,695.9,321.7,435.1,269.1,355.6,294.7,530.0,363.1,465.5
AT2G15620,1020.6,907.7,1549.5,1162.7,399.9,245.6,313.2,188.4,640.7,567.9,672.0,352.2,407.6,358.9
AT2G46505,800.5,1096.9,802.7,1021.5,908.3,1036.9,913.6,1048.6,690.9,929.8,664.6,659.7,699.9,724.5
AT2G46540,1365.1,1088.3,1412.0,1153.9,1384.1,1246.0,1436.5,1173.8,1244.0,1016.1,1075.6,1027.6,1120.6,1118.4
AT2G37050,555.3,414.6,513.5,378.6,629.7,402.4,613.1,471.9,649.8,544.2,807.9,630.0,801.2,646.1
AT2G37190,4941.6,4988.1,5034.3,4970.4,4739.7,5059.4,4781.9,4820.7,4983.9,5500.5,4983.2,5837.6,4823.5,5879.8
AT2G37120,685.9,913.4,680.0,899.6,818.2,943.1,760.1,952.1,835.4,1034.6,760.7,1134.6,938.3,1018.8
AT2G20890,1492.5,1336.6,1514.0,1485.4,1430.7,1564.2,1635.0,1412.8,1554.9,1432.4,1363.9,1200.0,1498.3,1419.2
AT2G20820,2172.4,1959.8,2230.0,2058.4,2104.6,1987.7,2243.2,1984.1,1906.8,1847.3,1787.7,1815.4,1828.7,1844.1
AT2G10940,845.5,491.3,809.7,695.2,694.5,924.0,1160.0,773.3,793.0,564.3,342.8,465.3,854.2,665.6
AT2G16660,638.8,670.9,477.5,516.6,456.5,449.2,548.1,525.0,1027.3,816.8,1074.2,1247.8,1049.2,1066.6
AT2G16780,497.7,441.1,422.6,332.6,438.7,343.9,408.0,337.3,592.9,566.7,778.1,681.3,681.3,688.0
AT2G16600,3550.9,3367.0,3323.5,3574.0,3661.7,3210.6,3304.1,3353.3,3270.0,3470.4,3543.6,3446.1,3151.5,3554.0
